date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:26	307566/307566	---MCZ	200	added ('OK')	text/html	etag:cacheable:a415631fb6800ec4c217bd18f9d921f6	https://beistravel.com/collections/coming-soon	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/coming-soon.html	(from https://beistravel.com/)
11:02:28	17432/17432	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Jun%202021%2004:48:27%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_shop-all_300x.jpg?v=1600840524	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_shop-all_300xbfdc.jpg	(from https://beistravel.com/)
11:02:30	21872/21872	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Jun%202021%2005:19:18%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_moves_300x.jpg?v=1620959937	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_moves_300xd5f3.jpg	(from https://beistravel.com/)
11:02:30	429086/429086	---MCZ	200	added ('OK')	text/html	etag:cacheable:b9421ca52e0749780034a6c774b32dde	https://beistravel.com/collections/fall-collection-2020	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/fall-collection-2020.html	(from https://beistravel.com/)
11:02:31	24487/24487	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20May%202021%2004:47:30%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_changingorg2_300x.jpg?v=1603903874	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_changingorg2_300x5139.jpg	(from https://beistravel.com/)
11:02:31	18400/18400	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2005:47:22%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/214-DSC02524_300x.jpg?v=1600813412	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/214-DSC02524_300xadce.jpg	(from https://beistravel.com/)
11:02:36	367155/367155	---MCZ	200	added ('OK')	text/html	etag:cacheable:71a474df29b97a8b1e23f14209546b90	https://beistravel.com/collections/the-naturals-collection-nav	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/the-naturals-collection-nav.html	(from https://beistravel.com/)
11:02:36	27231/27231	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2006:01:41%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_lifestyle3_300x.jpg?v=1602033075	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_lifestyle3_300x5ffe.jpg	(from https://beistravel.com/)
11:02:36	313784/313784	---MCZ	200	added ('OK')	text/html	etag:cacheable:a36527cc38028668f0062cacfa3b7452	https://beistravel.com/collections/the-fall-seasonal-collection	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/the-fall-seasonal-collection.html	(from https://beistravel.com/)
11:02:38	28594/28594	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2006:01:41%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/IMG_0029_2_300x.JPG?v=1600813431	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/IMG_0029_2_300x1871.jpg	(from https://beistravel.com/)
